party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu
kesk,.3,.261,2009,10,0,32,49,.6530612244897959,123.42,-.0809585492227995,15.5,.1,-8.4,-9.5,.34,783.49865,-6.5,126.08,138.96,137.6,149.53,157.99,kesk,2009m10
kesk,.28,.261,2009,11,0,33,49,.673469387755102,123.11,-.251174850105329,15.5,.1,-8.4,-9.5,.3,783.49865,-6.5,125.81,139.17,138.81,148.97,160.22,kesk,2009m11
kesk,.26,.261,2009,12,0,34,49,.6938775510204082,123.26,.1218422548940055,15.5,.1,-8.4,-9.5,.28,783.49865,-6.5,125.61,138.78,138.53,148.6,159.94,kesk,2009m12
kesk,.27,.261,2010,1,0,35,49,.7142857142857143,123.61,.2839526204770522,19.5,1.2,-3.8,-3.3,.26,758.3117099999999,-2.3,124.85,141.18,138.78,150.26,160.45,kesk,2010m1
kesk,.24,.261,2010,2,0,36,49,.7346938775510204,123.93,.2588787314942209,19.5,1.2,-3.8,-3.3,.27,758.3117099999999,-2.3,124.33,141.21,138.77,150.46,156.42,kesk,2010m2
kesk,.24,.261,2010,3,0,37,49,.7551020408163265,125.46,1.234567901234556,19.5,1.2,-3.8,-3.3,.24,758.3117099999999,-2.3,123.75,141.32,138.29,152.36,151.96,kesk,2010m3
kesk,.28,.261,2010,4,0,38,49,.7755102040816326,126.09,.5021520803443451,18.3,2.2,1.3,1.8,.24,822.47901,1.2,123.01,142.8,138.31,152.98,148.29,kesk,2010m4
kesk,.29,.261,2010,5,0,39,49,.7959183673469388,126.45,.2855103497501688,18.3,2.2,1.3,1.8,.28,822.47901,1.2,123.05,142.29,137.98,154.24,146.33,kesk,2010m5
kesk,.26,.261,2010,6,0,40,49,.8163265306122449,126.95,.3954132068010949,18.3,2.2,1.3,1.8,.29,822.47901,1.2,122.81,142.92,136.58,155.23,146.23,kesk,2010m6
kesk,.24,.261,2010,7,0,41,49,.8367346938775511,127.26,.2441906262308038,15.4,1.5,5.1,5,.26,758.8869099999999,.9,123.85,143.97,138.55,155.54,149.19,kesk,2010m7
kesk,.25,.261,2010,8,0,42,49,.8571428571428571,127.22,-.031431714600032,15.4,1.5,5.1,5,.24,758.8869099999999,.9,123.74,145.03,137.89,156.54,149.15,kesk,2010m8
kesk,.25,.261,2010,9,0,43,49,.8775510204081632,128.21,.7781795315202231,15.4,1.5,5.1,5,.25,758.8869099999999,.9,123.52,148.39,137.13,157.75,149.75,kesk,2010m9
