year	month	day	symbol	nav
2004	5	29	SPK00	0.67363
2004	5	30	SPK00	0.67363
2004	5	31	SPK00	0.67235
2004	6	1	SPK00	0.67235
2004	6	2	SPK00	0.67171
2004	6	3	SPK00	0.67043
2004	6	4	SPK00	0.67043
2004	6	5	SPK00	0.67043
2004	6	6	SPK00	0.67043
2004	6	7	SPK00	0.67043
2004	6	8	SPK00	0.67171
2004	6	9	SPK00	0.67171
2004	6	10	SPK00	0.67107
2004	6	11	SPK00	0.67107
2004	6	12	SPK00	0.67107
2004	6	13	SPK00	0.67107
2004	6	14	SPK00	0.67043
2004	6	15	SPK00	0.67107
2004	6	16	SPK00	0.67171
2004	6	17	SPK00	0.67107
2004	6	18	SPK00	0.67171
2004	6	19	SPK00	0.67107
2004	6	20	SPK00	0.67107
2004	6	21	SPK00	0.67171
2004	6	22	SPK00	0.67171
2004	6	23	SPK00	0.67171
2004	6	24	SPK00	0.67171
2004	6	25	SPK00	0.67299
2004	6	26	SPK00	0.67171
2004	6	27	SPK00	0.67171
2004	6	28	SPK00	0.67235
2004	6	29	SPK00	0.67171
2004	6	30	SPK00	0.67235
2004	7	1	SPK00	0.67299
2004	7	2	SPK00	0.67363
2004	7	3	SPK00	0.67299
2004	7	4	SPK00	0.67299
2004	7	5	SPK00	0.67363
2004	7	6	SPK00	0.67427
2004	7	7	SPK00	0.67427
2004	7	8	SPK00	0.67427
2004	7	9	SPK00	0.67491
2004	7	10	SPK00	0.67427
2004	7	11	SPK00	0.67427
2004	7	12	SPK00	0.67491
2004	7	13	SPK00	0.67427
2004	7	14	SPK00	0.67427
2004	7	15	SPK00	0.67427
2004	7	16	SPK00	0.67491
2004	7	17	SPK00	0.67427
2004	7	18	SPK00	0.67427
2004	7	19	SPK00	0.67555
2004	7	20	SPK00	0.67555
2004	7	21	SPK00	0.67427
2004	7	22	SPK00	0.67427
2004	7	23	SPK00	0.67427
2004	7	24	SPK00	0.67427
2004	7	25	SPK00	0.67427
2004	7	26	SPK00	0.67491
2004	7	27	SPK00	0.67427
2004	7	28	SPK00	0.67427
2004	7	29	SPK00	0.67491
2004	7	30	SPK00	0.67619
2004	7	31	SPK00	0.67491
2004	8	1	SPK00	0.67491
2004	8	2	SPK00	0.67682
2004	8	3	SPK00	0.67682
2004	8	4	SPK00	0.67682
2004	8	5	SPK00	0.67746
2004	8	6	SPK00	0.67746
2004	8	7	SPK00	0.67746
2004	8	8	SPK00	0.67746
2004	8	9	SPK00	0.67874
2004	8	10	SPK00	0.67874
2004	8	11	SPK00	0.67874
2004	8	12	SPK00	0.67874
2004	8	13	SPK00	0.67938
2004	8	14	SPK00	0.67874
2004	8	15	SPK00	0.67874
2004	8	16	SPK00	0.67938
2004	8	17	SPK00	0.67938
2004	8	18	SPK00	0.67938
2004	8	19	SPK00	0.67938
2004	8	20	SPK00	0.67938
2004	8	21	SPK00	0.67938
2004	8	22	SPK00	0.67938
2004	8	23	SPK00	0.67874
2004	8	24	SPK00	0.67874
2004	8	25	SPK00	0.67874
2004	8	26	SPK00	0.67938
2004	8	27	SPK00	0.68002
2004	8	28	SPK00	0.67938
2004	8	29	SPK00	0.67938
2004	8	30	SPK00	0.68002
2004	8	31	SPK00	0.68066
2004	9	1	SPK00	0.68066
2004	9	2	SPK00	0.68002
2004	9	3	SPK00	0.67938
2004	9	4	SPK00	0.68002
2004	9	5	SPK00	0.68002
2004	9	6	SPK00	0.67874
2004	9	7	SPK00	0.67874
2004	9	8	SPK00	0.6781
2004	9	9	SPK00	0.67938
2004	9	10	SPK00	0.68002
2004	9	11	SPK00	0.67938
2004	9	12	SPK00	0.67938
2004	9	13	SPK00	0.67938
2004	9	14	SPK00	0.68002
2004	9	15	SPK00	0.68002
2004	9	16	SPK00	0.68002
2004	9	17	SPK00	0.68002
2004	9	18	SPK00	0.68002
2004	9	19	SPK00	0.68002
2004	9	20	SPK00	0.68066
2004	9	21	SPK00	0.68066
2004	9	22	SPK00	0.68066
2004	9	23	SPK00	0.68066
2004	9	24	SPK00	0.68194
2004	9	25	SPK00	0.68066
2004	9	26	SPK00	0.68066
2004	9	27	SPK00	0.6813
2004	9	28	SPK00	0.68194
2004	9	29	SPK00	0.6813
2004	9	30	SPK00	0.6813
2004	10	1	SPK00	0.6813
2004	10	2	SPK00	0.6813
2004	10	3	SPK00	0.6813
2004	10	4	SPK00	0.68066
2004	10	5	SPK00	0.6813
2004	10	6	SPK00	0.6813
2004	10	7	SPK00	0.6813
2004	10	8	SPK00	0.68194
2004	10	9	SPK00	0.6813
2004	10	10	SPK00	0.6813
2004	10	11	SPK00	0.68258
2004	10	12	SPK00	0.68322
2004	10	13	SPK00	0.68258
2004	10	14	SPK00	0.68322
2004	10	15	SPK00	0.68386
2004	10	16	SPK00	0.68322
2004	10	17	SPK00	0.68322
2004	10	18	SPK00	0.68386
2004	10	19	SPK00	0.68386
2004	10	20	SPK00	0.68386
2004	10	21	SPK00	0.68386
2004	10	22	SPK00	0.68386
2004	10	23	SPK00	0.68386
