day	month	year	symbol	nav
10	1	2013	SPK00	0.8787
11	1	2013	SPK00	0.87636
12	1	2013	SPK00	0.8787
13	1	2013	SPK00	0.8787
14	1	2013	SPK00	0.87664
15	1	2013	SPK00	0.87676
16	1	2013	SPK00	0.87719
17	1	2013	SPK00	0.87601
18	1	2013	SPK00	0.87632
19	1	2013	SPK00	0.87601
20	1	2013	SPK00	0.87601
21	1	2013	SPK00	0.87603
22	1	2013	SPK00	0.87613
23	1	2013	SPK00	0.87601
24	1	2013	SPK00	0.87575
25	1	2013	SPK00	0.87364
26	1	2013	SPK00	0.87575
27	1	2013	SPK00	0.87575
28	1	2013	SPK00	0.87203
29	1	2013	SPK00	0.87244
30	1	2013	SPK00	0.86996
31	1	2013	SPK00	0.86989
01	2	2013	SPK00	0.86948
02	2	2013	SPK00	0.86989
03	2	2013	SPK00	0.86989
04	2	2013	SPK00	0.87
05	2	2013	SPK00	0.86948
06	2	2013	SPK00	0.86986
07	2	2013	SPK00	0.87096
08	2	2013	SPK00	0.8721
09	2	2013	SPK00	0.87096
10	2	2013	SPK00	0.87096
11	2	2013	SPK00	0.87204
12	2	2013	SPK00	0.87173
13	2	2013	SPK00	0.87162
14	2	2013	SPK00	0.87356
15	2	2013	SPK00	0.87358
16	2	2013	SPK00	0.87356
17	2	2013	SPK00	0.87356
18	2	2013	SPK00	0.87344
19	2	2013	SPK00	0.87356
20	2	2013	SPK00	0.87309
21	2	2013	SPK00	0.87501
22	2	2013	SPK00	0.87591
23	2	2013	SPK00	0.87501
24	2	2013	SPK00	0.87501
25	2	2013	SPK00	0.87525
26	2	2013	SPK00	0.87754
27	2	2013	SPK00	0.87746
28	2	2013	SPK00	0.87807
01	3	2013	SPK00	0.87941
02	3	2013	SPK00	0.87807
03	3	2013	SPK00	0.87807
04	3	2013	SPK00	0.87907
05	3	2013	SPK00	0.87908
06	3	2013	SPK00	0.87981
07	3	2013	SPK00	0.87936
08	3	2013	SPK00	0.87958
09	3	2013	SPK00	0.87936
10	3	2013	SPK00	0.87936
11	3	2013	SPK00	0.88006
12	3	2013	SPK00	0.88046
13	3	2013	SPK00	0.88088
14	3	2013	SPK00	0.88075
15	3	2013	SPK00	0.88106
16	3	2013	SPK00	0.88075
17	3	2013	SPK00	0.88075
18	3	2013	SPK00	0.88154
19	3	2013	SPK00	0.88185
20	3	2013	SPK00	0.88159
21	3	2013	SPK00	0.88181
22	3	2013	SPK00	0.88162
23	3	2013	SPK00	0.88181
24	3	2013	SPK00	0.88181
25	3	2013	SPK00	0.88213
26	3	2013	SPK00	0.88215
27	3	2013	SPK00	0.88271
28	3	2013	SPK00	0.8823
29	3	2013	SPK00	0.88271
30	3	2013	SPK00	0.88271
31	3	2013	SPK00	0.88271
01	4	2013	SPK00	0.88222
02	4	2013	SPK00	0.88212
03	4	2013	SPK00	0.88245
04	4	2013	SPK00	0.88331
05	4	2013	SPK00	0.88332
06	4	2013	SPK00	0.88331
07	4	2013	SPK00	0.88331
08	4	2013	SPK00	0.88382
09	4	2013	SPK00	0.88354
10	4	2013	SPK00	0.88404
11	4	2013	SPK00	0.88421
12	4	2013	SPK00	0.8852
13	4	2013	SPK00	0.88421
14	4	2013	SPK00	0.88421
15	4	2013	SPK00	0.88534
16	4	2013	SPK00	0.88508
17	4	2013	SPK00	0.8855
18	4	2013	SPK00	0.88571
19	4	2013	SPK00	0.88586
20	4	2013	SPK00	0.88571
21	4	2013	SPK00	0.88571
22	4	2013	SPK00	0.8865
23	4	2013	SPK00	0.88723
